[2024-07-06T19:06:51.178457500]	/127.0.0.1:49939 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\cgi-bin\query.py 6200 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:06:54.757035]	/127.0.0.1:49940 GET CODE_200 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:06:54.783860600]	/127.0.0.1:49954 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\logo_01.svg 51062 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:06:54.788278300]	/127.0.0.1:49958 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\image3.jpg 1973850 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:06:54.791276300]	/127.0.0.1:49956 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\image1.jpg 2643357 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:06:54.793064900]	/127.0.0.1:49957 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\image2.jpg 3268764 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:06:54.908832800]	/127.0.0.1:49955 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\logo_02.svg 97386 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:00.895961400]	/127.0.0.1:49962 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\index.html 3735 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:00.915690200]	/127.0.0.1:49967 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\logo_02.svg 97386 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:00.915690200]	/127.0.0.1:49966 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\logo_01.svg 51062 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:00.927145100]	/127.0.0.1:49970 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\image3.jpg 1973850 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:00.928142700]	/127.0.0.1:49968 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\image1.jpg 2643357 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:00.931621300]	/127.0.0.1:49969 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\image2.jpg 3268764 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
[2024-07-06T19:07:01.615049]	/127.0.0.1:49975 GET CODE_200 C:\Users\王英泰\Desktop\计算机网络\编程\WebServer\WebServer测试\.\webroot\page1.html 10078 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36
